"Producto","Producto_Base","Presentacion","Unidades_por_Caja","Descripción","Proveedor","Categoria","Imagenes"
"GR PENNE RIGATE DONNA CHIARA 500 GR X 24","GR PENNE RIGATE DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/user_upload/GR_PENNE_RIGATE_DONNA_CHIARA_500_GR_X_24.png"
"GR LINGUINI DONNA CHIARA 500GR X 24","GR LINGUINI DONNA CHIARA","500GR","24","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/user_upload/GR_LINGUINI_DONNA_CHIARA_500GR_X_24.png"
"GR FUSILLI  DONNA CHIARA 500 GR X 24","GR FUSILLI DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/user_upload/GR_FUSILLI_DONNA_CHIARA_500_GR_X_24.png"
"GR CODITOS  DONNA CHIARA 500 GR X 24","GR CODITOS DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/user_upload/foto_Chifferi_DC.png"
"GR NIDI FETT DONNA CHIARA 500 GR X 24","GR NIDI FETT DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/user_upload/GR_NIDI_FETT_DONNA_CHIARA_500_GR_X_24.png"
"GR FARFALLE DONNA CHIARA 500 GR X 24","GR FARFALLE DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/farfalle DC.png"
"GR SPAGHETTI TRAFILADO AL BRONZO 500 GR X 20","GR SPAGHETTI TRAFILADO AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo","extracted_images/FOTO PASTAS_8.png"
"GR PENNE RIGATE TRAFILADO AL BRONZO 500 GR X 20","GR PENNE RIGATE TRAFILADO AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo","extracted_images/user_upload/image001__10_.png"
"GR LINGUINI TRAFILADO AL BRONZO 500GR X 20","GR LINGUINI TRAFILADO AL BRONZO","500GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo","extracted_images/FOTO PASTAS_20.jpeg"
"GR FUSILLI TRAFILADO AL BRONZO 500 GR X 20","GR FUSILLI TRAFILADO AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo","extracted_images/FOTO PASTAS_24.jpeg"
"GR CASERECCIA TRAFILADA AL BRONZO 500 GR X 20","GR CASERECCIA TRAFILADA AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo","extracted_images/FOTO PASTAS_22.jpeg"
"GR RIGATONI  TRAFILADO AL BRONZO 500 GR X 20","GR RIGATONI TRAFILADO AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo","extracted_images/FOTO PASTAS_21.jpeg"
"GR NIDI PAPPARDELLE SEMOLA TRAFILADO AL BRONZO  500 GR X 12","GR NIDI PAPPARDELLE SEMOLA TRAFILADO AL BRONZO","500 GR","12","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo","extracted_images/FOTO PASTAS_40.jpeg"
"GR ORECHIETTE  TRAFILADO AL BRONZO500 GR X 20","GR ORECHIETTE TRAFILADO AL BRONZO500 GR","","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo","extracted_images/FOTO PASTAS_9.jpeg"
"GR CALAMARI TRILADA AL BRONZO 500 GR X 12","GR CALAMARI TRILADA AL BRONZO","500 GR","12","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo","extracted_images/FOTO PASTAS_38.jpeg"
"GR SPAGHETTI GLUTEN FREE 400 GR X 12","GR SPAGHETTI GLUTEN FREE","400 GR","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten","extracted_images/FOTO PASTAS_14.jpeg"
"GR PENNE GLUTEN FREE  400 GR X 12","GR PENNE GLUTEN FREE","400 GR","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten","extracted_images/FOTO PASTAS_15.jpeg"
"GR FUSILLI GLUTEN FREE400 GR X 12","GR FUSILLI GLUTEN FREE400 GR","","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten","extracted_images/FOTO PASTAS_17.jpeg"
"GR LASAGNA GLUTEN FREE 250 GR X 12","GR LASAGNA GLUTEN FREE","250 GR","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten","extracted_images/FOTO PASTAS_16.jpeg"
"GR GNOCHI DE PAPAS GLUTEN FREE 500GR X 12","GR GNOCHI DE PAPAS GLUTEN FREE","500GR","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten","extracted_images/FOTO PASTAS_18.jpeg"
"FB Aceite Extra Virgen chef 5 lit x 2","FB Aceite Extra Virgen chef 5 lit","","2","","SALOV","aceites extra virgen ","extracted_images/user_upload/image005.png"
"FB aceite extra virgen + girasol blend 5 lit x 2 mixto","FB aceite extra virgen + girasol blend 5 lit mixto","","2","","SALOV","aceite mezcla","extracted_images/user_upload/ce0e0b99-257f-446f-8c31-55c328142215.png"
"FB Aceite Extra Virgen 750 mlx 12","FB Aceite Extra Virgen 750 mlx 12","","","","SALOV","aceites extra virgen ","extracted_images/user_upload/FB_Aceite_Extra_Virgen_750_mlx_12___FB_Aceite_Extra_Virgen_500_mlx_12.png"
"FB Aceite Extra Virgen 500 mlx 12","FB Aceite Extra Virgen 500 mlx 12","","","","SALOV","aceites extra virgen ","extracted_images/user_upload/FB_Aceite_Extra_Virgen_750_mlx_12___FB_Aceite_Extra_Virgen_2_mlx_12.png"
"FB Aceite Extra Virgen 250 mlx 12","FB Aceite Extra Virgen 250 mlx 12","","","","SALOV","aceites extra virgen ","extracted_images/salov foto.png"
"FB Pesto a la Genovesa Verde 190g x 6","FB Pesto a la Genovesa Verde","190g","6","","SALOV","salsa pesto","extracted_images/user_upload/3dce3d82-9a0c-44e5-8d04-393a019d6c1d.png"
"FB Pesto de tomates secos rojo 190g x 6","FB Pesto de tomates secos rojo","190g","6","","SALOV","salsa pesto","extracted_images/user_upload/3672ed05-000b-4c6e-bb95-85c340f996ea.jpeg"
"FB Pesto Ricotta y tomates 190g x 6","FB Pesto Ricotta y tomates","190g","6","","SALOV","salsa pesto","extracted_images/user_upload/pesto.png"
"FB Vinagre Balsamico 250 ml x 12","FB Vinagre Balsamico","250 ml","12","","SALOV","vinagres","extracted_images/user_upload/cee3b0d1-278e-4ea9-879b-3e84193826d3.png"
"FB Aceite Extra Virgen con chili PEPERONCINO 250 mlx 12","FB Aceite Extra Virgen con chili PEPERONCINO 250 mlx 12","","","","SALOV","aceite extra virgen saborizado","extracted_images/user_upload/42afc3a2-d141-4251-b74e-6af4a12d1092.jpeg"
