"Producto","Producto_Base","Presentacion","Unidades_por_Caja","Descripción","Proveedor","Categoria","Imagenes"
"GR. PACCHERI g500x12","GR. PACCHERI g500x12","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. CANNELLONI g250x24","GR. CANNELLONI g250x24","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. TAGLIATELLE UOVO g500x12","GR. TAGLIATELLE UOVO g500x12","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. TAGLIOLINI UOVO g500x12","GR. TAGLIOLINI UOVO g500x12","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. FETTUCCINI UOVO g500x12","GR. FETTUCCINI UOVO g500x12","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR.NIDI PAPARDELLE SEMOLAg500x12","GR.NIDI PAPARDELLE SEMOLAg500x12","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. PAPARDELLE UOVOg500x12","GR. PAPARDELLE UOVOg500x12","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. LASAGNA SEMOLA g500x12","GR. LASAGNA SEMOLA g500x12","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. COUS COUS KG.1X10","GR. COUS COUS KG.1X10","","","","Pastificio Attilio Mastromauro srl","Cous cous",""
"GR.SPAGHETTI INTEGRAL 500 GR X 20","GR.SPAGHETTI INTEGRAL","500 GR","20","","Pastificio Attilio Mastromauro srl","Pastas integrales",""
"GR.PENNE INTEGRAL 500 GR X 20","GR.PENNE INTEGRAL","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas integrales",""
"GR SPAGHETTI  DONNA CHIARA 500 GR X 24","GR SPAGHETTI DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas",""
"GR PENNE RIGATE DONNA CHIARA 500 GR X 24","GR PENNE RIGATE DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas",""
"GR LINGUINI DONNA CHIARA 500GR X 24","GR LINGUINI DONNA CHIARA","500GR","24","","Pastificio Attilio Mastromauro srl","pastas",""
"GR FUSILLI  DONNA CHIARA 500 GR X 24","GR FUSILLI DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas",""
"GR CODITOS  DONNA CHIARA 500 GR X 24","GR CODITOS DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas",""
"GR NIDI FETT DONNA CHIARA 500 GR X 24","GR NIDI FETT DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas",""
"GR FARFALLE DONNA CHIARA 500 GR X 24","GR FARFALLE DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas",""
"GR RIGATONI TRAFILADO AL BRONZO 500 GR X 24","GR RIGATONI TRAFILADO AL BRONZO","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR SPAGHETTI TRAFILADO AL BRONZO 500 GR X 20","GR SPAGHETTI TRAFILADO AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR PENNE RIGATE TRAFILADO AL BRONZO 500 GR X 20","GR PENNE RIGATE TRAFILADO AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR LINGUINI TRAFILADO AL BRONZO 500GR X 20","GR LINGUINI TRAFILADO AL BRONZO","500GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR FUSILLI TRAFILADO AL BRONZO 500 GR X 20","GR FUSILLI TRAFILADO AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR CASERECCIA TRAFILADA AL BRONZO 500 GR X 20","GR CASERECCIA TRAFILADA AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR RIGATONI  TRAFILADO AL BRONZO 500 GR X 20","GR RIGATONI TRAFILADO AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR NIDI PAPPARDELLE SEMOLA TRAFILADO AL BRONZO  500 GR X 12","GR NIDI PAPPARDELLE SEMOLA TRAFILADO AL BRONZO","500 GR","12","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR ORECHIETTE  TRAFILADO AL BRONZO500 GR X 20","GR ORECHIETTE TRAFILADO AL BRONZO500 GR","","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR CALAMARI TRILADA AL BRONZO 500 GR X 12","GR CALAMARI TRILADA AL BRONZO","500 GR","12","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR SPAGHETTI GLUTEN FREE 400 GR X 12","GR SPAGHETTI GLUTEN FREE","400 GR","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten",""
"GR PENNE GLUTEN FREE  400 GR X 12","GR PENNE GLUTEN FREE","400 GR","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten",""
"GR FUSILLI GLUTEN FREE400 GR X 12","GR FUSILLI GLUTEN FREE400 GR","","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten",""
"GR LASAGNA GLUTEN FREE 250 GR X 12","GR LASAGNA GLUTEN FREE","250 GR","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten",""
"GR GNOCHI DE PAPAS GLUTEN FREE 500GR X 12","GR GNOCHI DE PAPAS GLUTEN FREE","500GR","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten",""
"FB Aceite Extra Virgen chef 5 lit x 2","FB Aceite Extra Virgen chef 5 lit","","2","","SALOV","aceites extra virgen ",""
"FB aceite extra virgen + girasol blend 5 lit x 2 mixto","FB aceite extra virgen + girasol blend 5 lit mixto","","2","","SALOV","aceite mezcla",""
"FB Aceite Extra Virgen 750 mlx 12","FB Aceite Extra Virgen 750 mlx 12","","","","SALOV","aceites extra virgen ",""
"FB Aceite Extra Virgen 500 mlx 12","FB Aceite Extra Virgen 500 mlx 12","","","","SALOV","aceites extra virgen ",""
"FB Aceite Extra Virgen 250 mlx 12","FB Aceite Extra Virgen 250 mlx 12","","","","SALOV","aceites extra virgen ",""
"FB Pesto a la Genovesa Verde 190g x 6","FB Pesto a la Genovesa Verde","190g","6","","SALOV","salsa pesto",""
"FB Pesto de tomates secos rojo 190g x 6","FB Pesto de tomates secos rojo","190g","6","","SALOV","salsa pesto",""
"FB Pesto Ricotta y tomates 190g x 6","FB Pesto Ricotta y tomates","190g","6","","SALOV","salsa pesto",""
"FB Vinagre Balsamico 250 ml x 12","FB Vinagre Balsamico","250 ml","12","","SALOV","vinagres",""
"FB Aceite Extra Virgen con chili PEPERONCINO 250 mlx 12","FB Aceite Extra Virgen con chili PEPERONCINO 250 mlx 12","","","","SALOV","aceite extra virgen saborizado",""
"FB Glaza balsamica 250 ml x 6","FB Glaza balsamica","250 ml","6","","SALOV","Vinagre balsamico",""
"Gemignani miel de trufas 250 gr x 9","Gemignani miel de trufas","250 gr","9","","GEMIGNANI ","Productos con trufa",""
"Gemignani aceite de trufas 250 gr x 6","Gemignani aceite de trufas","250 gr","6","","GEMIGNANI ","productos con trufa",""
"Gemignani tomates secos 1kg x 10","Gemignani tomates secos","1kg","10","","GEMIGNANI ","Tomates secos",""
"Crema tartufata especial 500 GR X 6 ( crema de trufas )","Crema tartufata especial ( crema de trufas )","500 GR","6","","VIANDER","productos con trufa",""
"Olive nere denocciolate ( Aceitunas negras sin millas ) 5 kg","Olive nere denocciolate ( Aceitunas negras sin millas )","5 kg","","","VIANDER","aceitunas",""
"Preparado de Tiramisu 4 X 270 GR X 6","Preparado de Tiramisu X 6","270 GR","270","","VIANDER","preparados para postre",""
"Preparado de Panna Cotta 4 X 270 GR X 6","Preparado de Panna Cotta X 6","270 GR","270","","VIANDER","preparados para postre",""
"Preparado de Mousse de chocolate 4 X 270 GR X 6","Preparado de Mousse de chocolate X 6","270 GR","270","","VIANDER","preparados para postre",""
"Funghi fantasia di bosco 1000 gr x 24","Funghi fantasia di bosco","1000 gr","24","","VIANDER","hongos especialidad",""
"Viander Crema de pistacho 500 gr x 6","Viander Crema de pistacho","500 gr","6","","VIANDER","salsa pesto pistacho",""
"Viander Ndjua 300 gr x 12","Viander Ndjua","300 gr","12","","VIANDER","salsa de Ndjua",""
"Alcachofas para pizza al natural 3kg x 6","Alcachofas para pizza al natural","3kg","6","","VIANDER","Alcachofas",""
"Alcachofas a la Romana con Gambo 750 gr x 4 Bella Atmosfera","Alcachofas a la Romana con Gambo Bella Atmosfera","750 gr","4","","VIANDER","Alcachofas",""
"Hongos porcini guarniture trifolato 950 gr x 8 Bella Armosfera","Hongos porcini guarniture trifolato Bella Armosfera","950 gr","8","","VIANDER","Hongos especialidad",""
"Azafran 0.125 x 100","Azafran 0.125","","100","","VIANDER","azafran",""
"Nero di Sepia 500 gr x 8","Nero di Sepia","500 gr","8","","VIANDER","Tinta de calamar",""
"Loacker Classic 45g x25x12 Napolitaner","Loacker Classic x12 Napolitaner","45g","25","","LOACKER SPA","galletas",""
"Loacker Classic 45g x25x12 Vanille","Loacker Classic x12 Vanille","45g","25","","LOACKER SPA","galletas",""
"Loacker Classic 45g x25x12 Cremkakao","Loacker Classic x12 Cremkakao","45g","25","","LOACKER SPA","galletas",""
"Loacker Classic 45g x25x12 Milk","Loacker Classic x12 Milk","45g","25","","LOACKER SPA","galletas",""
"Loacker Classic 45g x25x12 Coconut","Loacker Classic x12 Coconut","45g","25","","LOACKER SPA","galletas",""
"Loacker Classic 175g x18 Napolitaner","Loacker Classic Napolitaner","175g","18","","LOACKER SPA","galletas",""
"Loacker Classic 175g x18 Vanille","Loacker Classic Vanille","175g","18","","LOACKER SPA","galletas",""
"Loacker Classic 175g x18 Cremkakao","Loacker Classic Cremkakao","175g","18","","LOACKER SPA","galletas",""
"Loacker Classic 175g x18 Milk","Loacker Classic Milk","175g","18","","LOACKER SPA","galletas",""
"Loacker Quadratini 110g x12 Tiramisù","Loacker Quadratini Tiramisù","110g","12","","LOACKER SPA","galletas",""
"Loacker Quadratini 125g x12 Napolitaner","Loacker Quadratini Napolitaner","125g","12","","LOACKER SPA","galletas",""
"Loacker Quadratini 125g x12 Kakao","Loacker Quadratini Kakao","125g","12","","LOACKER SPA","galletas",""
"Loacker Quadratini 125g x12 Cocoa and Milkk","Loacker Quadratini Cocoa and Milkk","125g","12","","LOACKER SPA","galletas",""
"Loacker Quadratini 125g x12 Double chocolate","Loacker Quadratini Double chocolate","125g","12","","LOACKER SPA","galletas",""
"Loacker Quadratini 125g x12 Vanilla","Loacker Quadratini Vanilla","125g","12","","LOACKER SPA","galletas",""
"Loacker Quadratini 125g x12 Coconut","Loacker Quadratini Coconut","125g","12","","LOACKER SPA","galletas",""
"Loacker Quadratini 125g x12 Lemon","Loacker Quadratini Lemon","125g","12","","LOACKER SPA","galletas",""
"Loacker Quadratini 125g x12 Dark Chocolate","Loacker Quadratini Dark Chocolate","125g","12","","LOACKER SPA","galletas",""
"Loacker Mini 150g x 7 Napolitaner","Loacker Mini Napolitaner","150g","7","","LOACKER SPA","galletas",""
"Loacker Mini 150g x 7 Vainilla","Loacker Mini Vainilla","150g","7","","LOACKER SPA","galletas",""
"Loacker Mini 150g x 7 Mix","Loacker Mini Mix","150g","7","","LOACKER SPA","galletas",""
"Gran Pasticceria Tortina Mini 90g x14 Original","Gran Pasticceria Tortina Mini Original","90g","14","","LOACKER SPA","galletas",""
"Gran Pasticceria 100g x18 Coconut","Gran Pasticceria Coconut","100g","18","","LOACKER SPA","galletas",""
"Gran Pasticceria 100g x18 Creme Noisette","Gran Pasticceria Creme Noisette","100g","18","","LOACKER SPA","galletas",""
"Gran Pasticceria 100g x18 Cappuccino","Gran Pasticceria Cappuccino","100g","18","","LOACKER SPA","galletas",""
"LOACKER LESS SUGAR HAZELNUT 175 GR X 18","LOACKER LESS SUGAR HAZELNUT","175 GR","18","","LOACKER SPA","galletas",""
"LOACKER LESS SUGAR CHOCOLATE 175 GR X 18","LOACKER LESS SUGAR CHOCOLATE","175 GR","18","","LOACKER SPA","galletas",""
"QUADRATINI LESS SUGAR CHOCOLATE 110 GR X 12","QUADRATINI LESS SUGAR CHOCOLATE","110 GR","12","","LOACKER SPA","galletas",""
"QUADRATINI LESS SUGAR HAZELNUT 110 GR X 12","QUADRATINI LESS SUGAR HAZELNUT","110 GR","12","","LOACKER SPA","galletas",""
"TOMATES PELADOS VALLE DEL SOL 2550 gr x 6","TOMATES PELADOS VALLE DEL SOL","2550 gr","6","","VALLE DEL SOL","Tomates pelados Italianos",""
"TOMATES PELADO LA TORRENTE","TOMATES PELADO LA TORRENTE","","","","LA TORRENTE","Tomates pelados Italianos",""
"GR PASSATA DI POMODORO 690 GR X 12","GR PASSATA DI POMODORO","690 GR","12","","Pastificio Attilio Mastromauro srl","Salsa passata di pomodorp",""
"GR TOMATES PELADOS 400 GR X 24","GR TOMATES PELADOS","400 GR","24","","Pastificio Attilio Mastromauro srl","Tomates pelados Italianos",""
"GR TOMATES PELADOS 800 GR X 12","GR TOMATES PELADOS","800 GR","12","","Pastificio Attilio Mastromauro srl","Tomates pelados Italianos",""
"CROISSANT CACAO 6pcs X 12","CROISSANT CACAO 6pcs","","12","","BAULI","croissant",""
"CROISSANT CREMA 6pcs X 12","CROISSANT CREMA 6pcs","","12","","BAULI","croissant",""
"CROISSANT ALBICOCCA 6pcs X 12","CROISSANT ALBICOCCA 6pcs","","12","","BAULI","croissant",""
"CROISSANT CILIEGIA 6pcs 12","CROISSANT CILIEGIA 6pcs 12","","","","BAULI","croissant",""
"GRANORO FARINA 00 1 KG X 10","GRANORO FARINA 00","1 KG","10","","Pastificio Attilio Mastromauro srl","harinas",""
"GRANORO FARINA 0 PER PIZZA 1 KG X 10","GRANORO FARINA 0 PER PIZZA","1 KG","10","","Pastificio Attilio Mastromauro srl","harinas",""
"GRANORO SEMOLA DE GRANO DURO 500 GR X10","GRANORO SEMOLA DE GRANO DURO","500 GR","10","","Pastificio Attilio Mastromauro srl","harinas",""
